date,ruonia
23.10.2017,7.98
20.10.2017,7.73
19.10.2017,7.85
18.10.2017,7.87
17.10.2017,7.95
16.10.2017,8.2
13.10.2017,8.16
12.10.2017,8.18
11.10.2017,7.92
10.10.2017,8.26
09.10.2017,8.37
06.10.2017,8.3
05.10.2017,7.95
04.10.2017,7.99
03.10.2017,8.22
02.10.2017,8.25
29.09.2017,8.49
28.09.2017,8.47
27.09.2017,8.21
26.09.2017,7.98
25.09.2017,8.05
22.09.2017,7.99
21.09.2017,8.02
20.09.2017,8
19.09.2017,8.04
18.09.2017,7.96
15.09.2017,8.69
14.09.2017,8.61
13.09.2017,8.24
12.09.2017,8.19
11.09.2017,8.44
08.09.2017,8.42
07.09.2017,8.46
06.09.2017,8.49
05.09.2017,8.58
04.09.2017,8.94
01.09.2017,8.78
31.08.2017,8.71
30.08.2017,8.56
29.08.2017,8.55
28.08.2017,8.58
25.08.2017,8.53
24.08.2017,8.37
23.08.2017,8.4
22.08.2017,8.57
21.08.2017,8.56
18.08.2017,8.52
17.08.2017,8.51
16.08.2017,8.5
15.08.2017,8.33
14.08.2017,8.25
11.08.2017,8.35
10.08.2017,8.44
09.08.2017,8.63
08.08.2017,8.22
07.08.2017,8.24
04.08.2017,8.34
03.08.2017,8.64
02.08.2017,8.7
01.08.2017,8.9
31.07.2017,9.24
28.07.2017,9.17
27.07.2017,9.13
26.07.2017,9.05
25.07.2017,8.93
24.07.2017,8.94
21.07.2017,8.96
20.07.2017,8.95
19.07.2017,8.91
18.07.2017,8.86
17.07.2017,8.96
14.07.2017,8.75
13.07.2017,8.82
12.07.2017,8.79
11.07.2017,8.48
10.07.2017,8.64
07.07.2017,8.98
06.07.2017,9.02
05.07.2017,9
04.07.2017,9.02
03.07.2017,9.03
30.06.2017,9.09
29.06.2017,9.15
28.06.2017,9.09
27.06.2017,9.05
26.06.2017,8.9
23.06.2017,8.64
22.06.2017,8.77
21.06.2017,8.99
20.06.2017,9.03
19.06.2017,9.02
16.06.2017,9.27
15.06.2017,9.26
14.06.2017,9.19
13.06.2017,9.07
09.06.2017,9.07
08.06.2017,9.08
