<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20160309,000000,1899.1900000,1906.9900000,1875.5100000,1883.0000000,0
RI.IMOEX,D,20160310,000000,1885.9700000,1896.0600000,1875.6200000,1884.6300000,0
RI.IMOEX,D,20160311,000000,1886.8500000,1888.7700000,1868.2200000,1876.5400000,0
RI.IMOEX,D,20160314,000000,1877.2300000,1880.4100000,1857.1900000,1865.3100000,0
RI.IMOEX,D,20160315,000000,1871.7900000,1879.0000000,1851.4900000,1855.0600000,0
RI.IMOEX,D,20160316,000000,1858.0100000,1871.2000000,1852.9200000,1871.2000000,0
RI.IMOEX,D,20160317,000000,1876.6100000,1900.1200000,1874.3900000,1890.7900000,0
RI.IMOEX,D,20160318,000000,1892.8100000,1923.5000000,1885.1500000,1914.0200000,0
RI.IMOEX,D,20160321,000000,1905.9600000,1906.3400000,1886.7600000,1904.5000000,0
RI.IMOEX,D,20160322,000000,1905.7600000,1916.2700000,1888.5900000,1903.4700000,0
RI.IMOEX,D,20160323,000000,1900.0900000,1906.3800000,1869.3200000,1879.8900000,0
RI.IMOEX,D,20160324,000000,1872.8800000,1875.2700000,1857.2700000,1866.6700000,0
RI.IMOEX,D,20160325,000000,1869.6000000,1879.7900000,1865.3700000,1866.2300000,0
RI.IMOEX,D,20160328,000000,1871.9300000,1879.4700000,1844.7300000,1849.3100000,0
RI.IMOEX,D,20160329,000000,1849.1100000,1850.9300000,1825.9900000,1845.2000000,0
RI.IMOEX,D,20160330,000000,1853.3500000,1876.3200000,1847.7800000,1868.1000000,0
RI.IMOEX,D,20160331,000000,1865.1000000,1876.5500000,1851.3500000,1871.1500000,0
RI.IMOEX,D,20160401,000000,1860.5300000,1861.4900000,1833.6100000,1856.7700000,0
RI.IMOEX,D,20160404,000000,1854.3700000,1876.0800000,1853.5400000,1866.6400000,0
RI.IMOEX,D,20160405,000000,1859.5100000,1861.3900000,1847.6200000,1857.0900000,0
RI.IMOEX,D,20160406,000000,1863.3000000,1867.9600000,1850.8300000,1860.1700000,0
RI.IMOEX,D,20160407,000000,1865.9700000,1872.5100000,1848.1900000,1858.8500000,0
RI.IMOEX,D,20160408,000000,1860.9300000,1879.6400000,1857.4400000,1877.2700000,0
RI.IMOEX,D,20160411,000000,1875.7400000,1907.5000000,1872.5000000,1906.9000000,0
RI.IMOEX,D,20160412,000000,1907.5600000,1910.5900000,1889.0200000,1899.2600000,0
RI.IMOEX,D,20160413,000000,1903.4700000,1944.3200000,1903.4700000,1932.8000000,0
RI.IMOEX,D,20160414,000000,1929.8700000,1948.8400000,1902.6400000,1915.8500000,0
RI.IMOEX,D,20160415,000000,1914.1900000,1918.3500000,1899.2900000,1907.7800000,0
RI.IMOEX,D,20160418,000000,1888.9700000,1896.3600000,1867.6100000,1892.6400000,0
RI.IMOEX,D,20160419,000000,1895.2800000,1930.2300000,1892.9600000,1930.1400000,0
RI.IMOEX,D,20160420,000000,1923.9400000,1961.6000000,1922.4100000,1960.1800000,0
RI.IMOEX,D,20160421,000000,1971.7500000,1976.6900000,1931.6600000,1950.0800000,0
RI.IMOEX,D,20160422,000000,1952.3300000,1967.2600000,1936.7200000,1967.2600000,0
RI.IMOEX,D,20160425,000000,1962.6700000,1963.9600000,1944.9400000,1955.4700000,0
RI.IMOEX,D,20160426,000000,1953.8600000,1956.5400000,1931.0800000,1946.5500000,0
RI.IMOEX,D,20160427,000000,1951.5100000,1954.9300000,1921.5800000,1934.7700000,0
RI.IMOEX,D,20160428,000000,1936.0500000,1969.8900000,1925.2700000,1969.8900000,0
RI.IMOEX,D,20160429,000000,1970.4600000,1974.4200000,1941.2500000,1953.0500000,0
RI.IMOEX,D,20160504,000000,1932.9200000,1957.1800000,1901.8500000,1925.5800000,0
RI.IMOEX,D,20160505,000000,1924.2800000,1924.2800000,1902.6600000,1906.4800000,0
RI.IMOEX,D,20160506,000000,1905.1500000,1906.3400000,1889.9600000,1901.5600000,0
RI.IMOEX,D,20160510,000000,1896.0200000,1909.9700000,1874.5000000,1885.3400000,0
RI.IMOEX,D,20160511,000000,1890.0900000,1916.3400000,1885.6700000,1909.0500000,0
RI.IMOEX,D,20160512,000000,1912.4300000,1922.5100000,1900.0800000,1901.9000000,0
RI.IMOEX,D,20160513,000000,1901.5100000,1907.1900000,1881.4100000,1907.1900000,0
RI.IMOEX,D,20160516,000000,1912.1600000,1939.2200000,1909.1800000,1915.3300000,0
RI.IMOEX,D,20160517,000000,1913.2500000,1915.1900000,1876.6900000,1909.0000000,0
RI.IMOEX,D,20160518,000000,1907.1500000,1921.2100000,1899.1200000,1917.2400000,0
RI.IMOEX,D,20160519,000000,1907.7100000,1913.7000000,1891.5200000,1891.5200000,0
RI.IMOEX,D,20160520,000000,1901.2700000,1903.5800000,1882.1600000,1891.3300000,0
