<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20160919,000000,136.8700000,138.1500000,136.1200000,136.5900000,16783020
GAZP,D,20160920,000000,136.2000000,137.0200000,135.1800000,137.0000000,18088760
GAZP,D,20160921,000000,137.2100000,137.4800000,135.5000000,136.2500000,15941150
GAZP,D,20160922,000000,136.8600000,137.0500000,135.2300000,136.7000000,28973080
GAZP,D,20160923,000000,136.2700000,137.8400000,135.2600000,136.7000000,29099120
GAZP,D,20160926,000000,136.3800000,136.3900000,134.8000000,135.2600000,25528700
GAZP,D,20160927,000000,135.5700000,135.5800000,133.8800000,133.9200000,24085290
GAZP,D,20160928,000000,134.3600000,134.9000000,133.5700000,134.0900000,19232780
GAZP,D,20160929,000000,135.4000000,136.8000000,135.0000000,135.3100000,23852960
GAZP,D,20160930,000000,135.0000000,135.9500000,134.2600000,134.9000000,23620900
GAZP,D,20161003,000000,135.1200000,136.6900000,134.8000000,135.3700000,19611020
GAZP,D,20161004,000000,135.5100000,136.7500000,135.0500000,136.2300000,19654000
GAZP,D,20161005,000000,136.3200000,136.3200000,134.2500000,134.8000000,21493240
GAZP,D,20161006,000000,134.8000000,136.2400000,134.1000000,135.9000000,19679920
GAZP,D,20161007,000000,135.8100000,136.7500000,135.2000000,136.1000000,20470490
GAZP,D,20161010,000000,136.1700000,139.5000000,135.7500000,139.1000000,34393560
GAZP,D,20161011,000000,139.1500000,139.8000000,138.1800000,138.9800000,32295790
GAZP,D,20161012,000000,138.8300000,140.2300000,137.5500000,138.0700000,31957650
GAZP,D,20161013,000000,137.7000000,137.8800000,136.5700000,137.4700000,15111600
GAZP,D,20161014,000000,137.5700000,137.8600000,135.8300000,136.2000000,12920690
GAZP,D,20161017,000000,136.0800000,136.4300000,135.3000000,135.5700000,14793980
GAZP,D,20161018,000000,136.0100000,136.4600000,135.4100000,135.8100000,19026660
GAZP,D,20161019,000000,136.1000000,136.1600000,134.7000000,135.4900000,11799010
GAZP,D,20161020,000000,135.6900000,135.7400000,134.7000000,134.7200000,12383860
GAZP,D,20161021,000000,135.1000000,135.3500000,133.9500000,134.9600000,15492890
GAZP,D,20161024,000000,135.2000000,136.1400000,134.7500000,135.0500000,15300690
GAZP,D,20161025,000000,135.2900000,135.9700000,134.8800000,135.3000000,15465450
GAZP,D,20161026,000000,135.1100000,135.7000000,134.5500000,135.3200000,11927180
GAZP,D,20161027,000000,135.3800000,135.6400000,134.6200000,135.0400000,12329090
GAZP,D,20161028,000000,134.9900000,135.0400000,134.4000000,135.0000000,9968980
GAZP,D,20161031,000000,136.3000000,139.4400000,136.1600000,138.8400000,42578620
GAZP,D,20161101,000000,139.1500000,142.4400000,139.0100000,141.9800000,49393830
GAZP,D,20161102,000000,141.4900000,143.6400000,140.0300000,140.8100000,43116430
GAZP,D,20161103,000000,140.7200000,141.3000000,139.3000000,139.9000000,24853410
GAZP,D,20161107,000000,140.5300000,140.9600000,138.5000000,138.5000000,23537810
GAZP,D,20161108,000000,138.8100000,140.9800000,138.8100000,139.3200000,20823850
GAZP,D,20161109,000000,138.0000000,145.6200000,137.5500000,145.6200000,78726330
GAZP,D,20161110,000000,146.4500000,151.3000000,145.7500000,147.4000000,103024690
GAZP,D,20161111,000000,147.5000000,149.5000000,145.7900000,147.8800000,45394160
GAZP,D,20161114,000000,148.5700000,149.6700000,145.9600000,146.2600000,31632780
GAZP,D,20161115,000000,146.5400000,148.0000000,145.6000000,145.9000000,23657610
