date,curs
11/08/2016,64.8137
12/08/2016,64.9497
13/08/2016,64.3364
16/08/2016,64.2076
17/08/2016,63.9514
18/08/2016,63.9943
19/08/2016,63.5487
20/08/2016,63.9391
23/08/2016,64.2078
24/08/2016,64.7684
25/08/2016,64.8140
26/08/2016,64.9459
27/08/2016,64.7380
30/08/2016,65.0810
31/08/2016,64.9072
01/09/2016,65.2535
02/09/2016,65.2566
03/09/2016,65.8684
06/09/2016,64.7644
07/09/2016,64.8306
08/09/2016,64.3804
09/09/2016,63.9730
10/09/2016,64.1617
13/09/2016,65.0539
14/09/2016,64.8102
15/09/2016,64.9737
16/09/2016,65.2170
17/09/2016,64.9940
20/09/2016,64.9173
21/09/2016,64.7513
22/09/2016,64.4424
23/09/2016,63.7942
24/09/2016,63.8642
27/09/2016,64.1506
28/09/2016,63.6921
29/09/2016,63.9509
30/09/2016,63.1581
01/10/2016,63.3960
04/10/2016,62.5477
05/10/2016,62.4323
06/10/2016,62.4583
07/10/2016,62.3900
08/10/2016,62.3031
11/10/2016,62.3884
12/10/2016,62.1946
13/10/2016,62.5892
14/10/2016,63.3465
15/10/2016,62.9934
18/10/2016,63.1510
19/10/2016,62.8900
20/10/2016,62.5841
21/10/2016,62.4194
22/10/2016,62.4499
25/10/2016,62.2349
26/10/2016,62.0480
27/10/2016,62.2597
28/10/2016,63.0399
29/10/2016,62.9037
01/11/2016,63.2174
02/11/2016,63.2025
03/11/2016,63.4166
04/11/2016,63.5043
08/11/2016,63.9074
09/11/2016,63.7364
10/11/2016,63.8928
11/11/2016,63.4161
12/11/2016,65.2167
15/11/2016,65.8591
16/11/2016,65.5548
17/11/2016,64.5463
18/11/2016,64.9154
19/11/2016,65.1023
22/11/2016,64.3580
23/11/2016,63.6282
24/11/2016,64.0087
25/11/2016,64.6279
26/11/2016,64.6174
29/11/2016,64.9153
30/11/2016,64.9449
01/12/2016,65.2382
02/12/2016,63.6807
03/12/2016,64.1528
06/12/2016,63.9242
07/12/2016,63.8741
08/12/2016,63.9114
09/12/2016,63.3901
10/12/2016,63.3028
13/12/2016,61.5804
14/12/2016,61.0690
15/12/2016,60.8079
16/12/2016,61.6368
17/12/2016,61.7515
20/12/2016,61.7931
21/12/2016,61.7967
22/12/2016,61.1092
23/12/2016,60.8641
24/12/2016,60.8528
27/12/2016,60.9084
28/12/2016,60.8587
29/12/2016,60.6669
30/12/2016,60.2730
31/12/2016,60.6569
10/01/2017,59.8961
11/01/2017,59.9533
12/01/2017,60.1614
13/01/2017,59.4978
14/01/2017,59.3700
17/01/2017,59.6067
18/01/2017,59.4015
19/01/2017,59.1830
20/01/2017,59.3521
21/01/2017,59.6697
24/01/2017,59.5034
25/01/2017,59.2168
26/01/2017,59.1489
27/01/2017,59.6356
28/01/2017,60.3196
31/01/2017,60.1618
01/02/2017,60.0851
02/02/2017,60.3099
03/02/2017,59.9858
04/02/2017,59.3137
07/02/2017,58.7121
08/02/2017,59.1933
09/02/2017,59.5129
10/02/2017,59.0235
11/02/2017,58.8457
14/02/2017,58.0619
15/02/2017,57.7388
16/02/2017,56.7719
17/02/2017,57.1507
18/02/2017,57.6342
21/02/2017,58.0967
22/02/2017,57.8590
23/02/2017,57.4762
28/02/2017,57.9371
01/03/2017,57.9627
02/03/2017,58.3776
03/03/2017,58.4067
04/03/2017,58.9099
07/03/2017,58.3370
08/03/2017,58.2630
10/03/2017,58.8318
11/03/2017,59.2174
14/03/2017,59.1327
15/03/2017,58.9540
16/03/2017,59.1128
17/03/2017,58.2437
18/03/2017,57.9344
21/03/2017,57.2847
22/03/2017,57.2323
23/03/2017,57.6360
24/03/2017,57.5228
25/03/2017,57.4247
28/03/2017,57.0233
29/03/2017,56.9364
30/03/2017,57.0241
31/03/2017,56.3779
01/04/2017,55.9606
04/04/2017,56.1396
05/04/2017,56.5553
06/04/2017,55.8940
07/04/2017,56.4369
08/04/2017,56.9201
11/04/2017,57.3896
12/04/2017,56.9552
13/04/2017,56.7556
14/04/2017,56.6019
15/04/2017,56.2945
18/04/2017,56.2505
19/04/2017,55.9793
20/04/2017,56.1753
